Date,ALVO.IC,AMRQ.IC,ARION.IC,BRIM.IC,EIK.IC,EIM.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICEAIR.IC,ICESEA.IC,ISB.IC,ISF.IC,ISLAX.IC,JBTM.IC,KALD.IC,KLAPP.IC,KLDVK.IC,KVIKA.IC,NOVA.IC,OCS.IC,OLGERD.IC,REITIR.IC,SIMINN.IC,SJOVA.IC,SKAGI.IC,SKEL.IC,SOLID.IC,SVN.IC,SYN.IC
2021-02-25,,,88.58341979980469,52.468994140625,8.4933443069458,249.8731231689453,165.04388427734375,55.01097106933594,89.06301879882812,20.72126579284668,1.4600000381469727,14.899999618530273,,,,,12.600000381469727,,,14.193559646606445,,,,63.62334442138672,0.20655490458011627,30.07618522644043,,8.12506103515625,,,42.849998474121094
2021-02-26,,,90.82604217529297,52.468994140625,8.424433708190918,249.03182983398438,163.17898559570312,54.3470458984375,89.06301879882812,20.914024353027344,1.465000033378601,14.850000381469727,,,,,12.600000381469727,,,14.080912590026855,,,,61.92671585083008,0.20550638437271118,30.031492233276367,,8.148035049438477,,,43.0
2021-03-01,,,93.44242095947266,51.32421875,8.510573387145996,246.50784301757812,162.71275329589844,53.96766662597656,89.06301879882812,20.383943557739258,1.465000033378601,14.800000190734863,,,,,12.600000381469727,,,14.043364524841309,,,,62.02097702026367,0.20487730205059052,29.80804443359375,,8.071455001831055,,,42.599998474121094
2021-03-02,,,91.76046752929688,51.22882080078125,8.346907615661621,241.0392608642578,160.8478546142578,53.493431091308594,89.06301879882812,20.239376068115234,1.4299999475479126,14.819999694824219,,,,,12.600000381469727,,,14.043364524841309,,,,60.13583755493164,0.20529668033123016,29.49521827697754,,8.040823936462402,,,42.849998474121094
2021-03-03,,,90.07849884033203,51.5150146484375,8.355521202087402,245.6665496826172,159.4491729736328,52.829505920410156,82.28648376464844,20.624887466430664,1.3450000286102295,14.710000038146973,,,,,12.600000381469727,,,14.080912590026855,,,,60.98414993286133,0.20487730205059052,29.137699127197266,,7.925955295562744,,,42.75
2021-03-04,,,90.4522705078125,51.22882080078125,8.38997745513916,246.50784301757812,158.9829559326172,53.68312072753906,82.28648376464844,21.2513427734375,1.3799999952316284,14.720000267028809,,,,,12.600000381469727,,,14.268657684326172,,,,61.4554328918457,0.21116827428340912,28.86956024169922,,7.925955295562744,,,42.849998474121094
2021-03-05,,,89.3309555053711,51.22882080078125,8.295225143432617,246.50784301757812,158.0504913330078,53.01919937133789,82.28648376464844,21.0585880279541,1.4199999570846558,14.779999732971191,,,,,12.600000381469727,,,14.249883651733398,,,,61.17266845703125,0.20865188539028168,28.601423263549805,,8.06685733795166,,,42.849998474121094
2021-03-08,,,88.58341979980469,50.561031341552734,8.38997745513916,246.50784301757812,157.58425903320312,53.20888900756836,82.28648376464844,20.986305236816406,1.440000057220459,14.850000381469727,,,,,12.600000381469727,,,14.118461608886719,,,,60.51286697387695,0.2076033502817154,28.154525756835938,,8.027887344360352,,,42.5
2021-03-09,,,89.3309555053711,50.84722900390625,8.441661834716797,245.6665496826172,159.91539001464844,53.96766662597656,82.28648376464844,21.395912170410156,1.4249999523162842,15.050000190734863,,,,,12.600000381469727,,,14.118461608886719,,,,61.26691818237305,0.21074889600276947,28.06514549255371,,8.027887344360352,,,42.5
2021-03-10,,,89.14408111572266,51.22882080078125,8.372750282287598,242.30125427246094,159.91539001464844,54.252201080322266,82.28648376464844,21.54047966003418,1.3799999952316284,15.399999618530273,,,,,12.600000381469727,,,14.268657684326172,,,,61.5496940612793,0.21074889600276947,28.154525756835938,,7.969430923461914,,,42.150001525878906
2021-03-11,,,88.20965576171875,51.41961669921875,8.441661834716797,235.5706787109375,158.9829559326172,54.5367431640625,82.28648376464844,21.974178314208984,1.3700000047683716,15.449999809265137,,,,,12.600000381469727,,,14.343756675720215,,,,62.02097702026367,0.2109586000442505,28.46735382080078,,7.969430923461914,,,41.79999923706055
2021-03-12,,,87.46211242675781,51.41961669921875,8.441661834716797,234.7293243408203,158.2836151123047,53.77796936035156,90.9991683959961,21.974178314208984,1.3799999952316284,15.550000190734863,,,,,12.600000381469727,,,14.343756675720215,,,,61.17266845703125,0.20925000309944153,28.377975463867188,,7.949946403503418,,,41.400001525878906
2021-03-15,,,86.7145767211914,51.61041259765625,8.346907615661621,233.88800048828125,157.58425903320312,53.35116195678711,90.9991683959961,21.829612731933594,1.3350000381469727,15.25,,,,,12.600000381469727,,,14.118461608886719,,,,59.38179016113281,0.20692968368530273,26.232868194580078,,7.949946403503418,,,41.29999923706055
2021-03-16,,,88.58341979980469,51.80120849609375,8.38997745513916,239.77723693847656,160.14849853515625,53.30373764038086,90.9991683959961,22.16693687438965,1.4149999618530273,15.399999618530273,,,,,12.600000381469727,,,14.193559646606445,,,,60.418609619140625,0.20756249129772186,26.098798751831055,,8.027887344360352,,,41.29999923706055
2021-03-17,,,89.90352630615234,51.038021087646484,8.407206535339355,238.0946502685547,162.24652099609375,54.0625114440918,95.83954620361328,22.16693687438965,1.5,15.399999618530273,,,,,12.600000381469727,,,14.569050788879395,,,,60.79563903808594,0.2111484408378601,26.054109573364258,,8.027887344360352,,,41.5
2021-03-18,,,91.80021667480469,50.27484130859375,8.407206535339355,245.6665496826172,165.5100860595703,54.631587982177734,95.83954620361328,21.92599105834961,1.4600000381469727,15.399999618530273,,,,,12.399999618530273,,,14.681696891784668,,,,60.60712814331055,0.20967185497283936,26.18817710876465,,7.988915920257568,,,41.29999923706055
