Date,BRIM.IC,EIK.IC,EIM.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICESEA.IC,ICEAIR.IC,REITIR.IC,SIMINN.IC,SJOVA.IC,SKEL.IC,SYN.IC
2016-12-12 00:00:00+00:00,-0.0018148543900243785,-0.00475286963490229,0.0,0.0,0.004686035747897277,0.0,0.003937022951637115,0.0,-0.02315786261307562,-0.003260902736497928,-0.003174600050953491,0.0010067344769659758,-0.011594191681209676,-0.012219928569597305
2016-12-13 00:00:00+00:00,-0.007272755015980126,0.0,-0.0239520958083832,-0.012935353748833922,-0.009328358474513854,0.0,0.0,0.0,0.0,-0.0054525628859313224,0.0,0.0023466206839843906,-0.030791793674664336,0.0061855512795989664
2016-12-14 00:00:00+00:00,0.0,0.004775567283634041,0.010736196319018454,0.00806454714081517,0.025423772648059506,0.0,0.01568625955020675,0.0,0.012931001172197254,0.009868438113980194,0.0063694204644377805,0.013377913833897637,0.0015128217613757933,0.013319703607398203
2016-12-15 00:00:00+00:00,-0.023809510501666242,0.007129259125629339,0.0,0.33499999999999996,-0.006427957463989276,0.0,-0.005791491148245287,0.0,-0.0234042228536403,0.0,-0.01265829088137238,-0.0033002797570629294,-0.004531681796042464,-0.003033397847615915
2016-12-16 00:00:00+00:00,0.0,0.006134929565370317,0.0,-0.011235955056179803,0.012939016315763885,0.0,0.0,0.0,0.006535930873366125,-0.003257279341297492,0.0032052016822570195,0.0,0.0015174130217205928,0.0010141833232111264
2016-12-19 00:00:00+00:00,-0.0018761440066130675,0.0009381077884595967,-0.01365705614567525,-0.018939393939393923,-0.005474438708708229,0.0,0.0038835099599894285,0.0,0.006493489872433145,0.014161169707481713,0.0031948850152176966,0.0033112076687034087,0.0075757865844463534,-0.00303946739249239
2016-12-20 00:00:00+00:00,-0.013157908889112169,0.0037488248891297538,0.0,-0.01158301158301156,0.0,0.0,-0.0019342802193930142,0.0,0.0021505048198084964,0.0,0.009554130696656893,0.0,-0.006015031771336776,-0.007113867548595665
2016-12-21 00:00:00+00:00,0.003809538341703833,0.0028010955055404185,-0.003076923076923088,0.0,-0.00366973876953125,0.0,0.001938028910378975,0.0,0.023605200103798962,0.007518846284742864,0.006309142096266429,-0.0033002797570629294,0.015128578307516571,0.0
2016-12-22 00:00:00+00:00,-0.013282746732552586,0.008379902654180427,0.0092592592592593,0.015625,0.0,0.0,0.009671179741227665,0.0,0.0,0.009594817347583273,-0.012539172769758689,0.006622478494644701,0.014903115359770513,0.042988789240819836
2016-12-23 00:00:00+00:00,0.0,0.0,0.0,-0.0038461538461538325,0.005524847905629349,0.0,0.003831432184220329,0.0,0.0020964040360935687,-0.0084476816065846,0.00317460005095338,0.0,-0.004405247169348314,-0.004906771270979937
