Date,ARION.IC,BRIM.IC,EIK.IC,EIM.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICESEA.IC,ICEAIR.IC,ISB.IC,KALD.IC,KVIKA.IC,KLAPP.IC,REITIR.IC,SIMINN.IC,SJOVA.IC,SKEL.IC,SOLID.IC,SVN.IC,SYN.IC
2021-07-16 00:00:00+01:00,-0.008902077151335286,-0.015228388061223619,0.004587173622452312,0.003726708074534235,0.01980198019801982,0.0031446661593999004,0.0,0.0,0.005847975394087879,-0.025316506313829312,0.009302325581395321,0.05063292285300003,0.008264415259734426,0.0,0.006729474824539228,-0.011323969159434122,0.0027815986647816704,0.004608224451857046,0.375,0.011904807858458266,0.007299344596003232
2021-07-19 00:00:00+01:00,-0.0359281437125748,-0.015463943540908187,-0.013698595538180203,-0.012376237623762387,-0.024271844660194164,-0.012539173144626603,0.0,-0.01467888508367976,-0.02906976615241441,-0.025974001846660322,-0.018433179723502335,0.0,-0.020491803599057445,0.0,-0.02406421094010247,-0.00440530300038533,-0.015256567231633378,-0.012843981151195227,0.0,-0.01176475076114425,-0.0036232251292344086
2021-07-20 00:00:00+01:00,-0.0031055900621117516,-0.015706766547381346,-0.009259294417005237,0.0,0.0,-0.019047631157769085,0.0,-0.014897564724294377,-0.008982126887789654,0.0,0.0,0.03012048123553912,-0.00836815308715555,0.0,-0.0273972602739726,-0.006194747550175239,-0.014084507042253502,-0.005576247057657802,-0.09090909090909094,-0.0029761451982837084,0.008484811493844724
2021-07-21 00:00:00+01:00,0.0031152647975076775,0.0,0.0009346008467381317,0.005012531328320913,0.0,-0.001618098306724991,0.0,0.007561393187974774,0.021148060278212366,-0.039999961853027344,0.009389671361502261,0.011695839247322315,0.004219344763797039,0.0,-0.00845068273409988,0.002671477103153519,0.008571406773158374,0.0,0.0,0.013432858595207486,0.0
2021-07-22 00:00:00+01:00,-0.009316770186335366,-0.003546112722136785,-0.0056022800563014785,-0.012468827930174564,-0.00497512437810943,-0.011345231025668201,0.0,-0.015009366763823362,-0.01479289974219189,-0.006944520329984494,-0.0046511627906976605,0.005780369125999885,-0.014705818711795882,0.0,-0.019886384879754138,-0.019538211594748334,-0.016997124280138,0.0,0.0,-0.010309345536169467,0.0
2021-07-23 00:00:00+01:00,-0.0031347962382445305,-0.0017794001327541276,-0.010328606630732096,0.0,0.004999999999999893,0.0032787010317942844,-0.03579952267303099,-0.0019047328404018238,0.015015015359025385,0.05594408800680317,0.009345794392523255,0.0,0.008528735568610335,0.0,0.0,0.024456563287736932,0.0,0.0,-0.050000000000000044,0.005952403929229133,0.0
2021-07-26 00:00:00+01:00,0.0,0.0017825720416817514,0.0,-0.008838383838383868,-0.00497512437810943,-0.006535972563600612,0.0,-0.003816808341898237,0.0,-0.04966890606450025,0.0,0.0,0.004228346007725703,0.0,-0.002898506496263553,0.006189185873309633,0.0,0.0,-0.052631578947368474,0.0029586476649594573,-0.016826850334565435
2021-07-27 00:00:00+01:00,0.003144654088050425,0.0,0.010436400102026955,-0.020382165605095537,0.012499999999999956,0.0016447745077832199,0.01980198019801982,0.0,-0.01479289974219189,0.020905987313805108,0.004629629629629539,-0.0172413358412411,0.0021052310341282965,0.0,0.015988349205356522,0.016695920779666418,-0.005763710620809492,0.0,0.0,-0.0007375081048247578,-0.006112469209611504
2021-07-28 00:00:00+01:00,0.0015673981191222097,-0.0035587323883337074,0.0,0.0013003901170351995,-0.012345679012345734,-0.001642073666876076,0.0,-0.003831432184220329,0.003003071805090629,0.003412965950654101,0.0,0.0,0.002100888487900354,0.0,0.0,0.0,0.005797123563462403,0.0,0.0,0.0007380524244695597,-0.006150061269760143
2021-07-29 00:00:00+01:00,0.020344287949921824,0.0035714421953474407,0.0,-0.0051948051948051965,0.004999999999999893,0.0,0.0,0.0,0.005987932308542776,0.02721085787382216,-0.004608294930875556,0.02339179003549785,0.00838569611706208,-0.004347842672596802,0.0,0.006914427468986295,-0.0028819102772229543,0.0,0.0,-0.0058997272547841595,-0.00990102749433508
